Kabupaten Kota,,,
,GINI RATIO SUMATERA UTARA MENURUT KABUPATEN/KOTA,,
,2022,2023,2024
Sumatera Utara,0.312,0.309,0.297
Nias,0.275,0.279,0.247
Mandailing Natal,0.244,0.249,0.25
Tapanuli Selatan,0.209,0.219,0.206
Tapanuli Tengah,0.233,0.241,0.234
Tapanuli Utara,0.242,0.262,0.242
Toba,0.305,0.295,0.348
Labuhan Batu,0.278,0.244,0.251
Asahan,0.255,0.26,0.248
Simalungun,0.262,0.295,0.257
Dairi,0.221,0.241,0.215
Karo,0.236,0.24,0.214
Deli Serdang,0.27,0.295,0.262
Langkat,0.26,0.257,0.26
Nias Selatan,0.223,0.261,0.247
Humbang Hasundutan,0.258,0.256,0.302
Pakpak Bharat,0.274,0.251,0.262
Samosir,0.298,0.251,0.238
Serdang Bedagai,0.24,0.225,0.242
Batu Bara,0.243,0.255,0.258
Padang Lawas Utara,0.245,0.241,0.223
Padang Lawas,0.227,0.225,0.224
Labuhanbatu Selatan,0.247,0.231,0.212
Labuanbatu Utara,0.276,0.238,0.239
Nias Utara,0.239,0.228,0.234
Nias Barat,0.21,0.208,0.219
Sibolga,0.346,0.246,0.313
Tanjungbalai,0.245,0.238,0.236
Pematangsiantar,0.321,0.329,0.297
Tebing Tinggi,0.334,0.317,0.335
Medan,0.399,0.373,0.356
Binjai,0.302,0.318,0.312
Padangsidimpuan,0.275,0.267,0.296
Gunungsitoli,0.303,0.308,0.277
